觀測時間(month),氣溫(℃),降水量(mm)
ObsTime,Temperature,Precp
1,2.8,31.8
2,4.1,3
3,2.3,135
4,4.9,171.5
5,6.2,807.5
6,7.5,537.5
7,8.1,155.5
8,8.3,602
9,8,133.5
10,7.2,45.5
11,7.5,0.5
12,4.4,103
1,1.8,7.7
2,1.4,11.5
3,2.7,89
4,3,85.4
5,6.8,609.5
6,9,115
7,8.6,198
8,6.7,179.5
9,6.9,155.5
10,7.6,89
11,4.6,114.5
12,0.9,113.5
1,-0.6,18.5
2,2.7,43
3,3.7,27.5
4,6.1,37.5
5,7.2,37.5
6,7.7,281.5
7,8.7,283.5
8,8,871
9,8.3,218
10,6.1,202
11,3.2,95
12,2.7,124.5
1,0.4,81.1
2,1,210.5
3,4.6,152.5
4,5.4,75.5
5,6.6,944.5
6,7.4,186
7,10.1,95
8,9.4,119.5
9,8.7,491.5
10,8.5,151
11,6.6,64.5
12,2.2,81.5